HCL AppScan on Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Attributes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Description,Report Date U T C,Total Issues In The Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report_Static_jazzcalm_workspace_2023-02-17_04-22-33_2023-03-02,,2023-03-02T10:34:18Z,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application Attributes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Impact,Business Unit,Description,Hosts,Max Severity,Risk Rating,Testing Status,Url,Date Created,Last Updated,Availability Requirement,Collateral Damage Potential,Confidentiality Requirement,Integrity Requirement,Target Distribution,Business Owner,Development Contact,Tester,,,,,,,,,,,,,,,,
6a3654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\WebKit.js:658,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\WebKit.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
6d3654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\WebKit.js:663,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\WebKit.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
8f3654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\diskLabels.js:214,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\diskLabels.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
703654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\WebKit.js:674,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\WebKit.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
733654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\WebKit.js:675,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\WebKit.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
763654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\WebKit.js:676,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\WebKit.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
793654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\WebKit.js:677,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\WebKit.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
7c3654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\WebKit.js:678,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\WebKit.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
7f3654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\WebKit.js:687,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\WebKit.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
823654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\WebKit.js:688,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\WebKit.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
873654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\WebKit.js:693,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\WebKit.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
0a3654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js:1088,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
223754a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\utils.js:936,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\utils.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
0d3654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js:1089,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
103654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js:1090,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
133654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js:1091,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
163654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js:1102,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
193654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js:1105,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
97a56398-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,java.lang.ProcessBuilder(List):void com.ibm.team.install.calm.devops.Deployer:729,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,729,com.ibm.team.install.calm.devops.Deployer$HSLTProcessBuilder.<init>(com.ibm.team.install.calm.devops.Deployer;java.util.List):void,,Sast,,0,,,,,,com.ibm.team.install.calm.devops.Deployer,e2a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
253754a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\utils.js:968,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\utils.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
283754a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\utils.js:984,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\utils.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
2b3754a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\utils.js:995,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\utils.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
9aa56398-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,java.lang.ProcessBuilder(List):void com.ibm.team.install.calm.devops.Deployer:729,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,729,com.ibm.team.install.calm.devops.Deployer$HSLTProcessBuilder.<init>(com.ibm.team.install.calm.devops.Deployer;java.util.List):void,,Sast,,0,,,,,,com.ibm.team.install.calm.devops.Deployer,e2a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
9da56398-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,java.lang.ProcessBuilder(List):void com.ibm.team.install.calm.devops.Deployer:729,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,729,com.ibm.team.install.calm.devops.Deployer$HSLTProcessBuilder.<init>(com.ibm.team.install.calm.devops.Deployer;java.util.List):void,,Sast,,0,,,,,,com.ibm.team.install.calm.devops.Deployer,e2a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
a0a56398-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,java.lang.ProcessBuilder(List):void com.ibm.team.install.calm.devops.Deployer:729,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,729,com.ibm.team.install.calm.devops.Deployer$HSLTProcessBuilder.<init>(com.ibm.team.install.calm.devops.Deployer;java.util.List):void,,Sast,,0,,,,,,com.ibm.team.install.calm.devops.Deployer,e2a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
1c3654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js:1108,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
1f3654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js:1127,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
223654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js:1131,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
a3a56398-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,java.lang.ProcessBuilder(List):void com.ibm.team.install.calm.devops.Deployer:729,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,729,com.ibm.team.install.calm.devops.Deployer$HSLTProcessBuilder.<init>(com.ibm.team.install.calm.devops.Deployer;java.util.List):void,,Sast,,0,,,,,,com.ibm.team.install.calm.devops.Deployer,e2a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
a6a56398-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,java.lang.ProcessBuilder(List):void com.ibm.team.install.calm.devops.Deployer:783,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,783,com.ibm.team.install.calm.devops.Deployer$BuildResultUpdater.<init>(com.ibm.team.install.calm.devops.Deployer;java.lang.String;java.util.Map):void,,Sast,,0,,,,,,com.ibm.team.install.calm.devops.Deployer,e2a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
a9a56398-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,java.lang.ProcessBuilder(List):void com.ibm.team.install.calm.devops.Deployer:783,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,783,com.ibm.team.install.calm.devops.Deployer$BuildResultUpdater.<init>(com.ibm.team.install.calm.devops.Deployer;java.lang.String;java.util.Map):void,,Sast,,0,,,,,,com.ibm.team.install.calm.devops.Deployer,e2a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
2e3754a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\utils.js:1218,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\utils.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
253654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js:1132,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
403754a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\utils.js:2227,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\utils.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
433754a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\utils.js:2245,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\utils.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
463754a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\utils.js:2263,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\utils.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
493754a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\utils.js:2365,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\utils.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
8ff85b9e-ccae-ed11-9173-14cb6572319f,High,3,Cryptography.InsecureAlgorithm,Replace this cryptographic algorithm with one that is considered sufficiently strong,Information Leakage,"It is possible to gather sensitive information about the web application such as usernames, passwords, machine name and/or sensitive file locations",Sensitive information stored to disk in cleartext,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,327,,,com.urbancode.commons.util.crypto.algs.PBEAlg.decryptPBE(String):String:235,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.urbancode.commons.util.crypto.algs.PBEAlg.decryptPBE(java.lang.String):java.lang.String,,Sast,,0,,,,,,com\urbancode\commons\util\crypto\algs\PBEAlg.java,d7a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
11f85b9e-ccae-ed11-9173-14cb6572319f,High,3,Cryptography.InsecureAlgorithm,Replace this cryptographic algorithm with one that is considered sufficiently strong,Information Leakage,"It is possible to gather sensitive information about the web application such as usernames, passwords, machine name and/or sensitive file locations",Sensitive information stored to disk in cleartext,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,327,,,com.urbancode.commons.util.IO.md2Digester():MessageDigest:1505,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.urbancode.commons.util.IO.md2Digester():java.security.MessageDigest,,Sast,,0,,,,,,com\urbancode\commons\util\IO.java,e5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
